,Player,Year,Team,GP,Min,Pts,FGA,Pts/Play,TS%,eFG%,FTA/FGA,3PA/FGA,Ast,Ast/FGA,Ast/TO,PPR,Stl,Blk,PF
738,Jaime Lloreda,2003,LSU,30,29.2,12.3,8.5,0.93,0.58,0.56,0.58,0.00,1.13,0.13,0.50,-5.16,0.9,2.0,2.8
739,DeAndre Haynes,2003,Kent St,31,29.2,5.4,4.7,0.69,0.52,0.49,0.26,0.38,4.26,0.90,1.71,1.22,1.5,0.1,2.9
740,Damany Hendrix,2003,Lamar,27,29.1,15.7,13.0,0.83,0.52,0.47,0.36,0.47,2.04,0.16,0.57,-7.48,0.7,0.3,2.7
741,Trent Drafts,2003,Charleston So,28,29.1,7.3,6.2,0.89,0.54,0.50,0.22,0.40,1.14,0.19,0.89,-1.88,0.9,0.6,2.4
742,Kevin Owens,2003,Monmouth,28,29.1,12.0,9.1,0.85,0.55,0.52,0.49,0.02,0.93,0.10,0.32,-7.77,1.0,1.8,3.6
743,Nick George,2003,VCU,28,29.1,8.3,6.6,0.86,0.54,0.48,0.39,0.01,1.07,0.16,0.58,-3.81,0.6,0.3,2.0
744,Casey Frandsen,2003,Portland,28,29.1,12.7,9.9,0.95,0.56,0.51,0.33,0.65,2.29,0.23,1.16,-1.52,1.1,0.1,2.6
745,Alex Kragel,2003,UNCA,32,29.1,11.1,8.3,0.99,0.61,0.59,0.20,0.51,1.88,0.23,0.92,-2.64,1.5,0.0,2.1
746,Garry Hill-Thomas,2003,Nevada,32,29.1,10.6,8.1,0.85,0.51,0.43,0.68,0.02,1.03,0.13,0.63,-3.15,1.1,0.0,2.2
747,Rob Gogerty,2003,UMBC,24,29.1,5.7,5.7,0.70,0.45,0.42,0.25,0.42,2.88,0.51,1.73,0.88,1.3,0.1,2.3
748,Donald Wilson,2003,Portland,27,29.1,11.9,9.1,0.86,0.53,0.46,0.52,0.15,1.81,0.20,0.80,-3.62,1.3,0.2,2.8
749,Derek Lambeth,2003,Sacramento St,29,29.1,13.0,9.2,0.88,0.55,0.47,0.66,0.29,1.79,0.19,0.70,-4.60,1.0,0.2,2.9
750,Jimmy Tricco,2003,Duquesne,30,29.1,10.4,8.1,0.97,0.60,0.59,0.16,0.73,2.23,0.27,1.10,-1.84,1.1,0.3,2.5
751,Tommy Smith,2003,Arizona St,32,29.1,11.2,8.9,0.80,0.53,0.50,0.43,0.06,2.66,0.30,0.88,-4.21,0.9,2.2,3.3
752,Quannas White,2003,Oklahoma,34,29.1,8.6,6.4,0.95,0.58,0.56,0.35,0.50,4.09,0.64,2.57,4.15,1.2,0.1,2.5
753,Deng Gai,2003,Fairfield,25,29.0,12.8,8.2,1.00,0.63,0.59,0.54,0.23,0.92,0.11,0.40,-5.62,0.4,3.8,2.7
754,Danny Horace,2003,Miami OH,26,29.0,11.5,10.0,0.86,0.50,0.44,0.37,0.27,0.85,0.08,0.54,-4.12,0.6,0.5,2.2
755,Mark Linebaugh,2003,Colgate,26,29.0,13.1,10.7,0.94,0.55,0.51,0.27,0.42,2.35,0.22,1.27,-0.99,1.3,0.2,2.2
756,Vince Okotie,2003,Liberty,27,29.0,12.1,10.0,0.84,0.53,0.48,0.30,0.33,0.67,0.07,0.23,-8.31,0.9,0.5,2.7
757,Gene Granger,2003,Charleston So,28,29.0,9.5,9.4,0.72,0.46,0.43,0.22,0.40,1.82,0.19,0.66,-5.54,1.4,0.1,2.7
