,Player,Year,Team,GP,Min,PER,EFF,EFF/40,EWA,Pos/G,Tm Pos/G,%Tm Pos,Pts/Pos,FGA/Pos,FTA/Pos,Ast/Pos,TO/Pos
323,Donley Minor,2013,Lamar,31,33.0,9.2,7.9,9.5,-0.83,12.3,71.1,17.3%,0.78,0.75,0.21,0.29,0.24
324,Brandon Ubel,2013,Nebraska,31,33.0,18.8,13.9,16.9,4.05,10.7,61.6,17.4%,1.07,0.81,0.35,0.15,0.19
325,Corey Maynard,2013,Bryant,30,33.0,16.4,13.2,16.1,2.75,8.8,67.2,13.0%,1.06,0.80,0.23,0.40,0.20
326,Reggie Hearn,2013,Northwestern,30,33.0,18.0,12.5,15.2,3.51,12.6,61.6,20.5%,1.06,0.77,0.39,0.12,0.15
327,Tate Unruh,2013,No. Colorado,29,33.0,20.2,13.7,16.6,4.45,12.3,65.7,18.7%,1.16,0.90,0.12,0.13,0.13
328,Derrick Barden,2013,No. Colorado,29,33.0,24.5,18.0,21.9,6.51,11.6,65.7,17.7%,1.19,0.85,0.33,0.07,0.14
329,Tristan Spurlock,2013,UCF,27,33.0,18.5,13.3,16.2,3.40,9.7,66.7,14.5%,1.16,0.87,0.39,0.19,0.13
330,Markeith Cummings,2013,Kennesaw St,27,33.0,19.2,12.2,14.8,3.69,15.0,65.9,22.7%,1.10,0.87,0.37,0.10,0.17
331,Trent Meyer,2013,UNCA,29,32.9,13.6,10.2,12.4,1.30,11.0,69.7,15.8%,0.88,0.82,0.16,0.35,0.20
332,D.J. Seeley,2013,CSUF,26,32.9,25.1,18.0,21.9,6.07,15.9,69.8,22.7%,1.13,0.79,0.30,0.24,0.17
333,Pierria Henry,2013,Charlotte,33,32.9,17.9,14.0,17.0,3.81,11.7,68.7,17.0%,0.88,0.68,0.37,0.32,0.24
334,Cole Dickerson,2013,San Francisco,29,32.9,20.9,16.6,20.2,4.79,14.3,66.4,21.5%,1.03,0.82,0.26,0.09,0.18
335,Stanton Kidd,2013,NCCU,28,32.9,21.7,15.9,19.3,4.98,12.4,64.1,19.3%,1.18,0.84,0.31,0.07,0.17
336,Nick Thompson,2013,Utah Valley,28,32.9,15.3,13.9,16.9,2.06,11.6,65.5,17.7%,0.80,0.71,0.19,0.38,0.29
337,Anthony Stitt,2013,Col Of Charleston,33,32.8,13.3,8.8,10.7,1.32,12.0,63.7,18.9%,0.94,0.76,0.22,0.26,0.21
338,Will Cherry,2013,Montana,22,32.8,20.9,13.8,16.8,3.64,14.0,65.2,21.5%,0.95,0.72,0.40,0.28,0.19
339,Emil Jones,2013,Troy,33,32.8,20.0,13.6,16.6,4.95,11.3,63.5,17.8%,1.01,0.94,0.28,0.26,0.13
340,C.J. Harris,2013,Wake Forest,31,32.8,17.7,11.7,14.3,3.47,14.2,69.1,20.6%,1.08,0.70,0.37,0.13,0.17
341,Chris Evans,2013,Kent St,34,32.8,25.6,18.1,22.1,8.20,14.7,66.8,22.0%,1.08,0.76,0.40,0.14,0.18
342,Shane Gibson,2013,Sacred Heart,29,32.8,23.1,15.8,19.2,5.82,20.0,69.5,28.9%,1.08,0.82,0.23,0.07,0.16
343,Mike Caffey,2013,LBSU,31,32.8,14.0,10.1,12.3,1.60,13.7,67.8,20.3%,0.86,0.81,0.22,0.29,0.20
344,Tony Mitchell,2013,North Texas,30,32.8,20.9,16.2,19.8,4.92,13.2,68.2,19.3%,1.00,0.78,0.37,0.06,0.19
345,Kevin Pangos,2013,Gonzaga,34,32.8,19.0,12.4,15.1,4.51,11.0,64.9,16.9%,1.11,0.84,0.22,0.30,0.13
346,Neil Watson,2013,Southern Miss,34,32.8,16.3,12.1,14.8,3.04,9.6,66.5,14.4%,1.03,0.68,0.28,0.47,0.26
347,Ashley Hamilton,2013,LMU,33,32.8,15.3,11.8,14.4,2.41,14.3,65.8,21.7%,0.90,0.76,0.35,0.10,0.23
348,Carl Blair,2013,Prairie View,31,32.7,13.0,10.1,12.3,1.08,12.8,68.1,18.8%,0.82,0.68,0.38,0.37,0.29
349,Bryson Johnson,2013,Bucknell,33,32.7,15.8,10.1,12.3,2.68,10.2,62.5,16.3%,1.09,0.79,0.30,0.23,0.11
350,Bryson Johnson,2013,Bucknell,33,32.7,15.8,10.1,12.3,2.68,10.2,62.5,16.3%,1.09,0.79,0.30,0.23,0.11
351,Jabari Brown,2013,Missouri,25,32.7,15.8,10.6,13.0,2.02,12.8,68.6,18.6%,1.07,0.78,0.34,0.11,0.13
352,Davion Berry,2013,Weber St,35,32.7,23.7,15.8,19.3,7.33,14.3,65.5,21.8%,1.06,0.72,0.38,0.27,0.15
353,Venky Jois,2013,Eastern Wash.,28,32.7,21.1,18.1,22.1,4.69,12.6,69.6,18.1%,0.98,0.74,0.35,0.16,0.20
354,Michael Snaer,2013,Florida St,33,32.7,18.9,13.3,16.3,4.32,14.8,66.7,22.2%,1.00,0.75,0.29,0.17,0.19
355,Davon Marshall,2013,Liberty,33,32.7,18.0,11.3,13.8,3.88,12.5,66.8,18.7%,1.12,0.80,0.20,0.19,0.16
356,Stallon Saldivar,2013,Northern Arizona,29,32.7,12.9,12.0,14.6,0.98,8.4,69.5,12.1%,0.78,0.67,0.22,0.54,0.27
357,Davon Usher,2013,MVSU,28,32.7,24.4,16.6,20.3,6.19,16.6,70.8,23.4%,1.13,0.82,0.42,0.09,0.14
358,Parker Smith,2013,UNF,31,32.7,18.8,12.5,15.4,4.04,14.6,66.2,22.0%,1.10,0.79,0.21,0.11,0.15
359,Jimmy Hall,2013,Hofstra,6,32.7,23.7,17.0,20.8,1.26,11.9,64.9,18.4%,1.07,0.88,0.40,0.11,0.18
360,Kierre Greenwood,2013,CCU,25,32.6,17.8,11.8,14.5,2.82,14.4,65.6,22.0%,0.90,0.76,0.29,0.27,0.21
361,Joe Jackson,2013,Memphis,36,32.6,20.4,15.3,18.7,5.59,13.2,70.0,18.9%,1.03,0.68,0.33,0.36,0.21
362,Todd Fletcher,2013,Air Force,30,32.6,15.8,11.3,13.9,2.42,9.0,64.5,13.9%,1.07,0.84,0.12,0.39,0.15
363,TaShawn Thomas,2013,Houston,32,32.6,28.0,22.5,27.5,8.93,14.8,71.3,20.8%,1.13,0.85,0.28,0.17,0.14
364,Christian Moon,2013,Montana St,21,32.6,19.8,12.1,14.8,3.07,10.1,67.3,14.9%,1.34,0.88,0.38,0.10,0.10
365,Robert Olson,2013,Loyola MD,35,32.6,16.5,11.1,13.6,3.21,12.4,64.7,19.1%,1.03,0.95,0.17,0.17,0.13
366,Robert Smith,2013,UCR,27,32.6,6.9,6.1,7.5,-1.73,9.3,63.7,14.5%,0.66,0.68,0.16,0.32,0.30
367,Quincy Ford,2013,Northeastern,34,32.6,17.8,12.9,15.9,3.84,11.8,65.1,18.1%,1.04,0.79,0.34,0.12,0.18
368,Martin Smith,2013,Lipscomb,29,32.6,12.6,9.8,12.1,0.83,11.6,71.7,16.2%,0.96,0.83,0.31,0.15,0.19
369,Elijah Pittman,2013,Marshall,31,32.6,20.0,13.7,16.9,4.60,13.5,69.3,19.5%,1.20,0.82,0.38,0.12,0.18
370,Tyler Stone,2013,Southeast Mo St,31,32.6,21.8,17.6,21.6,5.52,14.2,68.7,20.7%,1.07,0.89,0.25,0.08,0.11
371,Andrew Lawrence,2013,Col Of Charleston,33,32.6,19.2,12.1,14.9,4.47,14.2,63.7,22.2%,0.96,0.70,0.35,0.26,0.18
372,Dominique Buckley,2013,Toledo,28,32.6,13.5,9.4,11.6,1.23,9.6,67.0,14.3%,1.01,0.83,0.19,0.20,0.14
